ts,hostname,fleet_host_id,ziti_identity,ziti_identity_id,prev_state,new_state,score,reasons,tdetect,tdecision,tenforce
2026-03-21T03:26:13.152800+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-21T03:26:13.096002+00:00,2026-03-21T03:26:13.145585+00:00,2026-03-21T03:26:13.152814+00:00
2026-03-21T03:26:13.297174+00:00,tshark,4,ep-tshark,kfjxwdVj8r,,compliant,100,[],2026-03-21T03:26:13.155800+00:00,2026-03-21T03:26:13.287238+00:00,2026-03-21T03:26:13.297187+00:00
2026-03-21T03:51:31.576582+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,quarantine,compliant,100,[],2026-03-21T03:51:31.456464+00:00,2026-03-21T03:51:31.510901+00:00,2026-03-21T03:51:31.576596+00:00
2026-03-21T03:53:28.141077+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,compliant,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-21T03:53:28.063406+00:00,2026-03-21T03:53:28.108970+00:00,2026-03-21T03:53:28.141089+00:00
2026-03-21T03:54:15.664272+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,quarantine,compliant,100,[],2026-03-21T03:54:15.602152+00:00,2026-03-21T03:54:15.637740+00:00,2026-03-21T03:54:15.664288+00:00
2026-03-21T04:37:19.016447+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,quarantine,compliant,100,[],2026-03-21T04:37:18.936283+00:00,2026-03-21T04:37:18.984182+00:00,2026-03-21T04:37:19.016467+00:00
2026-03-21T04:45:34.165376+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,compliant,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-21T04:45:34.087027+00:00,2026-03-21T04:45:34.127842+00:00,2026-03-21T04:45:34.165387+00:00
2026-03-21T04:47:05.633528+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,quarantine,compliant,100,[],2026-03-21T04:47:05.505362+00:00,2026-03-21T04:47:05.592305+00:00,2026-03-21T04:47:05.633540+00:00
2026-03-21T04:53:38.538059+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,compliant,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-21T04:53:38.457857+00:00,2026-03-21T04:53:38.503371+00:00,2026-03-21T04:53:38.538074+00:00
2026-03-21T04:55:04.232436+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,quarantine,compliant,100,[],2026-03-21T04:55:04.130956+00:00,2026-03-21T04:55:04.180396+00:00,2026-03-21T04:55:04.232451+00:00
